   Field  Tile         RA        Dec Size
--------- ---- ---------- ---------- ----
LMC_30Dor  T01    82.4661   -69.8928 0.67
LMC_30Dor  T02    82.5151   -69.3432 0.67
LMC_30Dor  T03    82.5619   -68.7935 0.67
LMC_30Dor  T04    82.6067   -68.2438 0.67
LMC_30Dor  T05    83.9097   -69.9056 0.67
LMC_30Dor  T06     83.926   -69.3556 0.67
LMC_30Dor  T07    83.9417   -68.8057 0.67
LMC_30Dor  T08    83.9566   -68.2557 0.67
LMC_30Dor  T09    85.3541   -69.9056 0.67
LMC_30Dor  T10    85.3377   -69.3556 0.67
LMC_30Dor  T11    85.3221   -68.8057 0.67
LMC_30Dor  T12    85.3071   -68.2557 0.67
LMC_30Dor  T13    86.7977   -69.8928 0.67
LMC_30Dor  T14    86.7487   -69.3432 0.67
LMC_30Dor  T15    86.7018   -68.7935 0.67
LMC_30Dor  T16     86.657   -68.2438 0.67
  LMC_c01  T01  71.395872 -67.606806 0.67
  LMC_c01  T02  71.444884 -67.057131 0.67
  LMC_c01  T03  71.491723 -66.507441 0.67
  LMC_c01  T04   71.53654 -65.957737 0.67
  LMC_c01  T05  72.839476 -67.619546 0.67
  LMC_c01  T06  72.855831 -67.069582 0.67
  LMC_c01  T07   72.87146 -66.519616 0.67
  LMC_c01  T08  72.886414 -65.969649 0.67
  LMC_c01  T09  74.283857 -67.619546 0.67
  LMC_c01  T10  74.267502 -67.069582 0.67
  LMC_c01  T11  74.251873 -66.519616 0.67
  LMC_c01  T12   74.23692 -65.969649 0.67
  LMC_c01  T13  75.727462 -67.606806 0.67
  LMC_c01  T14   75.67845 -67.057131 0.67
  LMC_c01  T15   75.63161 -66.507441 0.67
  LMC_c01  T16  75.586794 -65.957737 0.67
  LMC_c02  T01  73.277037 -66.714532 0.67
  LMC_c02  T02  73.322289  -66.16483 0.67
  LMC_c02  T03  73.365618 -65.615114 0.67
  LMC_c02  T04   73.40715 -65.065387 0.67
  LMC_c02  T05  74.668228 -66.726725 0.67
  LMC_c02  T06  74.683327 -66.176758 0.67
  LMC_c02  T07  74.697784  -65.62679 0.67
  LMC_c02  T08   74.71164 -65.076821 0.67
  LMC_c02  T09  76.060105 -66.726725 0.67
  LMC_c02  T10  76.045006 -66.176758 0.67
  LMC_c02  T11   76.03055  -65.62679 0.67
  LMC_c02  T12  76.016693 -65.076821 0.67
  LMC_c02  T13  77.451296 -66.714532 0.67
  LMC_c02  T14  77.406044  -66.16483 0.67
  LMC_c02  T15  77.362716 -65.615114 0.67
  LMC_c02  T16  77.321184 -65.065387 0.67
  LMC_c03  T01  78.937959 -66.549918 0.67
  LMC_c03  T02  78.982563 -66.000211 0.67
  LMC_c03  T03  79.025286 -65.450492 0.67
  LMC_c03  T04   79.06625 -64.900761 0.67
  LMC_c03  T05  80.319929 -66.562015 0.67
  LMC_c03  T06  80.334812 -66.012048 0.67
  LMC_c03  T07  80.349066 -65.462079 0.67
  LMC_c03  T08  80.362733 -64.912109 0.67
  LMC_c03  T09  81.702571 -66.562015 0.67
  LMC_c03  T10  81.687688 -66.012048 0.67
  LMC_c03  T11  81.673434 -65.462079 0.67
  LMC_c03  T12  81.659767 -64.912109 0.67
  LMC_c03  T13  83.084541 -66.549918 0.67
  LMC_c03  T14  83.039937 -66.000211 0.67
  LMC_c03  T15  82.997214 -65.450492 0.67
  LMC_c03  T16   82.95625 -64.900761 0.67
  LMC_c30  T01  70.431766 -69.428395 0.67
  LMC_c30  T02  70.490006 -68.878785 0.67
  LMC_c30  T03  70.545422 -68.329157 0.67
  LMC_c30  T04  70.598226 -67.779511 0.67
  LMC_c30  T05  71.996917 -69.442389 0.67
  LMC_c30  T06  72.016355 -68.892432 0.67
  LMC_c30  T07   72.03485 -68.342474 0.67
  LMC_c30  T08  72.052472 -67.792513 0.67
  LMC_c30  T09  73.563083 -69.442389 0.67
  LMC_c30  T10  73.543645 -68.892432 0.67
  LMC_c30  T11   73.52515 -68.342474 0.67
  LMC_c30  T12  73.507528 -67.792513 0.67
  LMC_c30  T13  75.128234 -69.428395 0.67
  LMC_c30  T14  75.069994 -68.878785 0.67
  LMC_c30  T15  75.014578 -68.329157 0.67
  LMC_c30  T16  74.961774 -67.779511 0.67
  LMC_c32  T01  71.079814 -71.229298 0.67
  LMC_c32  T02  71.149898 -70.679773 0.67
  LMC_c32  T03   71.21625 -70.130223 0.67
  LMC_c32  T04   71.27917  -69.58065 0.67
  LMC_c32  T05  72.788931 -71.244761 0.67
  LMC_c32  T06  72.812329 -70.694814 0.67
  LMC_c32  T07  72.834479 -70.144864 0.67
  LMC_c32  T08  72.855482 -69.594911 0.67
  LMC_c32  T09  74.499403 -71.244761 0.67
  LMC_c32  T10  74.476004 -70.694814 0.67
  LMC_c32  T11  74.453854 -70.144864 0.67
  LMC_c32  T12  74.432851 -69.594911 0.67
  LMC_c32  T13  76.208519 -71.229298 0.67
  LMC_c32  T14  76.138435 -70.679773 0.67
  LMC_c32  T15  76.072084 -70.130223 0.67
  LMC_c32  T16  76.009163  -69.58065 0.67
  LMC_c35  T01  73.643462 -68.548355 0.67
  LMC_c35  T02  73.696954 -67.998712 0.67
  LMC_c35  T03  73.747965 -67.449052 0.67
  LMC_c35  T04  73.796672 -66.899376 0.67
  LMC_c35  T05  75.147246 -68.561718 0.67
  LMC_c35  T06  75.165098 -68.011758 0.67
  LMC_c35  T07  75.182121 -67.461795 0.67
  LMC_c35  T08  75.198374 -66.911832 0.67
  LMC_c35  T09  76.651921 -68.561718 0.67
  LMC_c35  T10  76.634069 -68.011758 0.67
  LMC_c35  T11  76.617046 -67.461795 0.67
  LMC_c35  T12  76.600793 -66.911832 0.67
  LMC_c35  T13  78.155704 -68.548355 0.67
  LMC_c35  T14  78.102212 -67.998712 0.67
  LMC_c35  T15  78.051202 -67.449052 0.67
  LMC_c35  T16  78.002495 -66.899376 0.67
  LMC_c36  T01  74.370752 -70.182405 0.67
  LMC_c36  T02  74.433564 -69.632828 0.67
  LMC_c36  T03  74.493212  -69.08323 0.67
  LMC_c36  T04   74.54994 -68.533612 0.67
  LMC_c36  T05  75.992925 -70.196983 0.67
  LMC_c36  T06  76.013892  -69.64703 0.67
  LMC_c36  T07  76.033801 -69.097074 0.67
  LMC_c36  T08  76.052734 -68.547117 0.67
