     Source_name       RA       Dec RegType Major Minor Theta  Color reg_qual      RA_Dec_name        Ref l_CRate CRate e_CRate
---------------- -------- --------- ------- ----- ----- ----- ------ -------- ---------------- ---------- ------- ----- -------
      J0444-6758 71.11583 -67.97031 ellipse  62.0  46.0    80   blue       ok       J0444-6758        Y21       <  0.01        
      J0447-6919 71.80974 -69.31615 ellipse 152.6 128.6     0   blue     good       J0447-6918        B17         0.024   0.011
      J0448-6700 72.10071 -67.00577 ellipse 153.2  99.9    55   blue     good       J0448-6700      BGS06         0.222   0.015
      J0449-6920 72.34108 -69.33845 ellipse  71.3  61.2     0   blue       ok       J0449-6920      KPS10         0.063  0.0096
      J0449-6903 72.39174 -69.06083 ellipse  88.3  56.6     0   blue       ok       J0449-6903        B17          0.03  0.0087
      J0450-6818 72.55737 -68.29956 ellipse 247.9 192.3    60   blue     good       J0450-6818        Y21       <  0.01        
   SNR_B0450-709 72.60613 -70.83858 ellipse 278.7 157.9   115   blue     good       J0450-7050      MFT85         0.253   0.019
      J0451-6906 72.91187 -69.10885 ellipse 155.7  99.2   170   blue     good       J0451-6906        B23       <  0.01        
J045145.7-671724 72.94042 -67.29000 ellipse 294.0 168.0    60 yellow  Unknown J045145.7-671724        Z24         0.206   0.019
      J0451-6951 72.96167 -69.85833 ellipse  85.0  84.0     0   blue      bad       J0451-6951        B23       <  0.01        
      J0452-6638 73.19905 -66.63673 ellipse 141.0  99.2    90   blue     good       J0452-6638        B23         0.015  0.0183
       SNR_in_N4 73.30422 -66.92755 ellipse 129.4 117.8    90   blue     good       J0453-6655      SCM94         0.514   0.018
   SNR_B0453-685 73.37463 -68.49475 ellipse 103.8  96.8    90   blue     good       J0453-6829      LHG81          6.23    0.06
      J0454-7003 73.57465 -70.05869 ellipse  72.8  64.3     0   blue       ok       J0454-7003        Y21         0.048 0.00525
       SNR_in_N9 73.63750 -67.22028 ellipse 108.0 108.0     5   blue       ok       J0454-6713      SCM94         0.758  0.0022
        SNR_N11L 73.70278 -66.42925 ellipse  33.5  31.6     0   blue       ok       J0454-6626       MC73         0.396   0.015
      J0455-6830 73.90314 -68.51014 ellipse  29.6  29.2    80   blue     good       J0455-6830        Y21       <  0.01        
         SNR_N86 73.90417 -68.64639 ellipse 183.0 183.0     0   blue     good       J0455-6839       MC73         0.757    0.03
J045625.5-683052 74.10625 -68.51444  circle  81.0  81.0     0 yellow  Unknown J045625.5-683052        Z24         0.029  0.0078
      J0456-6950 74.16062 -69.84558 ellipse 137.2 128.4   152   blue      bad       J0456-6950        B17          0.01  0.0133
      J0456-6533 74.21125 -65.54556  circle 171.0 171.0     0    red  Unknown       J0456-6533        Z24          0.18   0.014
      J0457-6923 74.26464 -69.39498 ellipse  83.7  72.8    90   blue     poor       J0457-6923        B17       <  0.01        
      J0457-6823 74.37394 -68.39361 ellipse  98.0  57.0   135   blue     good       J0457-6823        B23         0.025  0.0128
      J0457-6739 74.38750 -67.65139  circle  75.0  75.0     0  green  Unknown       J0457-6739        B17       <  0.01        
     J0459-7008b 74.91125 -70.14361 ellipse 101.5  89.0   150   blue       ok      J0459-7008b        B23         0.173   0.014
      J0459-6757 74.97875 -67.95111 ellipse  65.5  57.0     0   blue       ok       J0459-6757        B23         0.012  0.0098
       SNR_N186D 74.99175 -70.13626 ellipse  56.3  56.2   170   blue     good       J0459-7008       MC73         0.211   0.013
      J0500-6512 75.23154 -65.20492 ellipse 230.2 192.7   120   blue     good       J0500-6512        Y21         0.071   0.013
      J0502-6739 75.50845 -67.66131 ellipse  70.5  70.5     0   blue     good       J0502-6739        Y21       <  0.01        
      J0504-6901 75.99406 -69.03552 ellipse 145.7 131.7     0   blue       ok       J0504-6901        B23         0.047  0.0248
