Source_name        RA        Dec RegType  Major Minor Theta Color Size      Field
----------- --------- ---------- ------- ------ ----- ----- ----- ---- ----------
      Yew01 71.115833 -67.970306  circle 1200.0   0.0   0.0   red 0.20        All
 J0448-6700 72.091667 -66.997778  circle 1200.0   0.0   0.0   red 0.20        All
 MCELS_0448 72.088875 -66.999431  circle 1200.0   0.0   0.0   red 0.20        All
 J0449-6920 72.333333 -69.338889  circle 1200.0   0.0   0.0   red 0.20        All
 MCELS_0449 72.268333 -69.340961  circle 1200.0   0.0   0.0   red 0.20        All
      Yew02 72.551667 -68.301333  circle 1200.0   0.0   0.0   red 0.20        All
 J0450-7050 72.598667 -70.849889  circle 1200.0   0.0   0.0   red 0.20        All
 J0453-6655 73.310417  -66.92895  circle 1200.0   0.0   0.0   red 0.20        All
 J0453-6829   73.3895 -68.491131  circle 1200.0   0.0   0.0   red 0.20        All
      Yew03 73.579583 -70.058472  circle 1200.0   0.0   0.0   red 0.20        All
 J0454-6713 73.628375 -67.220689  circle 1200.0   0.0   0.0   red 0.20        All
 J0454-6626 73.710333 -66.427053  circle 1200.0   0.0   0.0   red 0.20        All
      Yew04 73.903333 -68.509611  circle 1200.0   0.0   0.0   red 0.20        All
 J0455-6839    73.929 -68.649019  circle 1200.0   0.0   0.0   red 0.20        All
 J0459-7008 74.982292 -70.131758  circle 1200.0   0.0   0.0   red 0.20        All
      Yew05  75.24375  -65.20425  circle 1200.0   0.0   0.0   red 0.20        All
      Yew06 75.510417 -67.658694  circle 1200.0   0.0   0.0   red 0.20        All
 J0505−6753 76.423333 -67.878289  circle 1200.0   0.0   0.0   red 0.20        All
 J0505−6802 76.467875 -68.037181  circle 1200.0   0.0   0.0   red 0.20        All
 J0506−6541    76.425 -65.685556  circle 1200.0   0.0   0.0   red 0.20        All
 MCELS_0506 76.520208 -65.686356  circle 1200.0   0.0   0.0   red 0.20        All
 J0506−7026 76.708333 -70.431389  circle 1200.0   0.0   0.0   red 0.20        All
      Yew07 76.715417 -65.137944  circle 1200.0   0.0   0.0   red 0.20        All
      Yew08   77.1325 -69.474944  circle 1200.0   0.0   0.0   red 0.20        All
 J0508−6902 77.154167 -69.034444  circle 1200.0   0.0   0.0   red 0.20        All
 J0508−6830 77.208333 -68.513889  circle 1200.0   0.0   0.0   red 0.20        All
 J0509−6844 77.251042 -68.726744  circle 1200.0   0.0   0.0   red 0.20        All
      Yew09 77.317083 -64.036472  circle 1200.0   0.0   0.0   red 0.20        All
 J0509−6731 77.380375 -67.521656  circle 1200.0   0.0   0.0   red 0.20        All
 J0511−6769 77.795833 -67.985556  circle 1200.0   0.0   0.0   red 0.20        All
 J0512−6707   78.1125 -67.121667  circle 1200.0   0.0   0.0   red 0.20        All
 J0513-6912  78.30575 -69.205672  circle 1200.0   0.0   0.0   red 0.20        All
 J0514−6840 78.566667 -68.672778  circle 1200.0   0.0   0.0   red 0.20        All
 J0517−6759 79.283333 -67.991389  circle 1200.0   0.0   0.0   red 0.20        All
      Yew10 79.462917 -67.962778  circle 1200.0   0.0   0.0   red 0.20        All
 J0518-6939 79.674917 -69.654756  circle 1200.0   0.0   0.0   red 0.20        All
 J0519−6902 79.894792 -69.036197  circle 1200.0   0.0   0.0   red 0.20        All
 J0519-6926 79.941667 -69.433333  circle 1200.0   0.0   0.0   red 0.20        All
 J0521−6543   80.4125 -65.718611  circle 1200.0   0.0   0.0   red 0.20        All
 MCELS_0521 80.411417 -65.714789  circle 1200.0   0.0   0.0   red 0.20        All
 J0522–6740    80.635 -67.682222  circle 1200.0   0.0   0.0   red 0.20        All
 J0523-6753 80.779792 -67.891703  circle 1200.0   0.0   0.0   red 0.20        All
 J0524-6624 81.084125 -66.407106  circle 1200.0   0.0   0.0   red 0.20        All
 J0525−6938 81.263042 -69.642453  circle 1200.0   0.0   0.0   red 0.20        All
 J0525−6559 81.359625 -65.988333  circle 1200.0   0.0   0.0   red 0.20        All
 J0526−6605 81.496333 -66.081858  circle 1200.0   0.0   0.0   red 0.20        All
 J0527-6912   81.9125      -69.2  circle 1200.0   0.0   0.0   red 0.20        All
 J0527-6550 81.987542 -65.831528  circle 1200.0   0.0   0.0   red 0.20        All
 J0527−6714 81.983333 -67.227778  circle 1200.0   0.0   0.0   red 0.20        All
 J0527−7104   81.9875    -71.075  circle 1200.0   0.0   0.0   red 0.20        All
 J0528−6727 82.020833 -67.455556  circle 1200.0   0.0   0.0   red 0.20        All
      Yew12 82.191667 -70.299111  circle 1200.0   0.0   0.0   red 0.20        All
      Yew13 82.274583 -70.077944  circle 1200.0   0.0   0.0   red 0.20        All
 J0529−6653   82.4625 -66.891111  circle 1200.0   0.0   0.0   red 0.20        All
 J0530−7008 82.666667    -70.125  circle 1200.0   0.0   0.0   red 0.20        All
 MCELS_0530 82.664042 -70.123694  circle 1200.0   0.0   0.0   red 0.20        All
 J0531-7100 82.987833 -71.005669  circle 1200.0   0.0   0.0   red 0.20        All
 J0532-6732 83.124208 -67.525483  circle 1200.0   0.0   0.0   red 0.20        All
 J0533−7202 83.441667 -70.166389  circle 1200.0   0.0   0.0   red 0.20        All
 J0534-6955      83.5 -69.914444  circle 1200.0   0.0   0.0   red 0.20        All
 J0534−7033 83.581958 -70.558731  circle 1200.0   0.0   0.0   red 0.20        All
 J0536−6916 83.866667     -69.27  circle 1200.0   0.0   0.0   red 0.20        All
 J0535−6602 83.934583 -66.033833  circle 1200.0   0.0   0.0   red 0.20        All
 J0535-6918 83.941667 -69.300556  circle 1200.0   0.0   0.0   red 0.20        All
 J0536−6735 84.008333     -67.58  circle 1200.0   0.0   0.0   red 0.20        All
 J0536−7039 84.021958 -70.642572  circle 1200.0   0.0   0.0   red 0.20        All
 J0536−6913 84.070833 -69.224444  circle 1200.0   0.0   0.0   red 0.20        All
 J0537−6628   84.3625 -66.463889  circle 1200.0   0.0   0.0   red 0.20        All
 MCELS_0537 84.369583 -66.462506  circle 1200.0   0.0   0.0   red 0.20        All
 J0537−6910 84.454375 -69.176711  circle 1200.0   0.0   0.0   red 0.20        All
      Yew14 84.696667 -70.071056  circle 1200.0   0.0   0.0   red 0.20        All
 J0540-6944 84.997375 -69.737433  circle 1200.0   0.0   0.0   red 0.20        All
 J0540-6920 85.047917 -69.331897  circle 1200.0   0.0   0.0   red 0.20        All
 J0541-6659   85.4625 -66.984444  circle 1200.0   0.0   0.0   red 0.20        All
      Yew15 85.464583 -66.984111  circle 1200.0   0.0   0.0   red 0.20        All
 J0542–7104 85.657917 -71.070444  circle 1200.0   0.0   0.0   red 0.20        All
 J0543-6858 85.781667 -68.973011  circle 1200.0   0.0   0.0   red 0.20        All
 J0547-6943 86.745833 -69.713889  circle 1200.0   0.0   0.0   red 0.20        All
 J0547-6941 86.841667 -69.690556  circle 1200.0   0.0   0.0   red 0.20        All
 J0547-7025 86.955958 -70.416019  circle 1200.0   0.0   0.0   red 0.20        All
      Yew17 87.204583 -69.688417  circle 1200.0   0.0   0.0   red 0.20        All
      Yew18 87.375417 -66.304417  circle 1200.0   0.0   0.0   red 0.20        All
      Yew19 87.310417 -66.561972  circle 1200.0   0.0   0.0   red 0.20        All
 J0550-6823    87.625 -68.377778  circle 1200.0   0.0   0.0   red 0.20        All
