Source_name Other_name        RA        Dec RegType   Major   Minor Theta
----------- ---------- --------- ---------- ------- ------- ------- -----
 J0041-7336      DEMS5 10.257083 -73.608333 ellipse 15.3125 13.6875 105.0
 J0046-7308     HPF414 11.669167 -73.137500 ellipse 11.5625    8.75  35.0
 J0047-7308       IKT2 11.819167 -73.143333 ellipse   6.875    6.25  45.0
 J0047-7309         -- 11.902083 -73.155556 ellipse   11.25     7.5  75.0
 J0048-7319       IKT4 12.081667 -73.327778 ellipse 10.3125   8.125  90.0
 J0047-7314       IKT5 12.282083 -73.237500  circle  11.875  11.875   0.0
 J0051-7321       IKT6 12.777917 -73.357222  circle  9.0625  9.0625   0.0
 J0052-7236     DEMS68 13.249583 -72.613056 ellipse    20.0  16.875 135.0
 J0058-7217      IKT16 14.593333 -72.297778  circle    16.0    16.0   0.0
 J0059-7210      IKT18 14.865417 -72.169444  circle    8.75    8.75   0.0
 J0100-7133    DEMS108 15.099583 -71.561389  circle  13.125  13.125   0.0
 J0103-7209      IKT21 15.820833 -72.161667  circle  16.875  16.875   0.0
 J0103-7247     HPF334 15.871250 -72.792500  circle  6.5625  5.3125   0.0
 J0103-7201         -- 15.902083 -72.026389 ellipse   6.125  5.1875  90.0
 J0104-7201      E0102 16.005000 -72.031111  circle  2.8125  2.6875   0.0
 J0105-7223      IKT23 16.267500 -72.386111  circle    12.0    12.0   0.0
 J0105-7210    DEMS128 16.377083 -72.177778 ellipse  11.875     7.5 150.0
 J0106-7205      IKT25 16.572917 -72.092778 ellipse   6.875     5.0  25.0
 J0127-7233    SXP1062 21.933750 -73.550278  circle  10.375  10.375   0.0
 J0056-7209      SNRC1 14.117083 -72.161667 ellipse   21.25 14.0625  30.0
 J0057-7211      NS66D 14.457917 -72.196389 ellipse   11.25  9.0625  45.0
 J0106-7242         -- 16.633750 -72.704722  circle    8.75  10.625   0.0
 J0109-7318      SNRC4 17.429167 -72.301111  circle  6.5625  6.5625   0.0
