  WAVE    TRANS
------ --------
4902.0 0.002605
4904.0 0.026525
4906.0 0.018104
4908.0 0.020623
4910.0 0.002572
4912.0  0.03651
4914.0 0.081645
4916.0 0.035367
4918.0 0.004616
4920.0 0.036266
4922.0 0.040981
4924.0 0.023868
4926.0  0.04192
4928.0  0.01011
4930.0 0.002542
4932.0 0.000504
4934.0 0.026221
4936.0 0.026121
4938.0 0.034076
4940.0 0.010527
4942.0 0.008017
4944.0 0.051864
4946.0 0.007953
4948.0  0.05223
4950.0 0.002477
4952.0 0.029719
4954.0 0.025645
4956.0 0.003952
4958.0 0.006404
4960.0 0.006365
4962.0 0.025937
4964.0 0.007827
4966.0 0.002444
4968.0 0.029032
4970.0 0.036469
4972.0 0.042765
4974.0  0.06207
4976.0 0.058222
4978.0 0.004344
4980.0 0.007716
4982.0 0.055855
4984.0 0.013499
4986.0 0.022959
4988.0 0.038142
4990.0 0.008106
4992.0  0.02812
4994.0 0.001898
4996.0 0.050834
4998.0 0.034428
5000.0 0.017084
5002.0 0.015166
5004.0 0.033858
5006.0  0.03248
5008.0 0.003298
5010.0 0.022889
5012.0 0.035076
5014.0 0.020157
5016.0 0.009796
5018.0 0.047852
5020.0 0.001858
5022.0 0.066576
5024.0 0.007885
5026.0 0.062433
5028.0 0.048052
5030.0 0.000459
5032.0  0.04776
5034.0 0.006903
5036.0 0.016475
5038.0 0.027503
5040.0 0.014606
5042.0 0.023796
5044.0 0.056125
5046.0 0.007269
5048.0  0.03604
5050.0 0.007272
5052.0 0.005442
5054.0 0.033986
5056.0 0.005417
5058.0 0.007685
5060.0 0.062553
5062.0      0.0
5064.0 0.005432
5066.0 0.028893
5068.0 0.007189
5070.0 0.007615
5072.0 0.042428
5074.0 0.039265
5076.0 0.001347
5078.0 0.010248
5080.0 0.026701
5082.0 0.009352
5084.0 0.047787
5086.0 0.040382
5088.0 0.054771
5090.0 0.022565
5092.0 0.034789
5094.0 0.044542
5096.0 0.009233
5098.0 0.035568
5100.0 0.033934
5102.0 0.037203
5104.0  0.01229
5106.0 0.044402
5108.0 0.004817
5110.0 0.001746
5112.0 0.005674
5114.0 0.018747
5116.0 0.016167
5118.0 0.003042
5120.0 0.052303
5122.0 0.055805
