  WAVE        TRANS
------ ------------
6002.0  0.000191717
6004.0  0.000132049
6006.0  9.04706e-05
6008.0  7.59604e-05
6010.0     0.000109
6012.0  0.000200503
6014.0  0.000321107
6016.0  0.000431157
6018.0  0.000485802
6020.0     0.000435
6022.0  0.000262863
6024.0  9.10374e-05
6026.0  6.94893e-05
6028.0  0.000208767
6030.0      0.00038
6032.0  0.000472103
6034.0  0.000469377
6036.0  0.000382358
6038.0  0.000276464
6040.0     0.000272
6042.0  0.000436824
6044.0  0.000619467
6046.0   0.00062167
6048.0  0.000430231
6050.0     0.000217
6052.0  0.000126536
6054.0  0.000162046
6056.0  0.000289254
6058.0  0.000424552
6060.0     0.000435
6062.0  0.000247694
6064.0  3.84615e-05
6066.0  3.50835e-05
6068.0  0.000230138
6070.0     0.000381
6072.0  0.000304866
6074.0  9.91359e-05
6076.0 -7.17724e-05
6078.0  -0.00011315
6080.0          0.0
6082.0   0.00026084
6084.0  0.000547305
6086.0  0.000713335
6088.0  0.000723501
6090.0     0.000653
6092.0  0.000575129
6094.0  0.000536331
6096.0   0.00057401
6098.0  0.000672088
6100.0     0.000761
6102.0  0.000783937
6104.0  0.000744395
6106.0  0.000661369
6108.0  0.000563485
6110.0     0.000489
6112.0  0.000462258
6114.0  0.000450261
6116.0  0.000408048
6118.0  0.000345232
6120.0     0.000326
6122.0  0.000390327
6124.0  0.000471843
6126.0  0.000480652
6128.0  0.000397144
6130.0     0.000272
6132.0  0.000150659
6134.0  4.53794e-05
6136.0  -3.8371e-05
6138.0 -6.04415e-05
6140.0      5.4e-05
6142.0  0.000327577
6144.0  0.000568045
6146.0  0.000540393
6148.0  0.000261474
6150.0  4.06576e-20
6152.0 -3.78967e-05
6154.0  5.97898e-05
6156.0  0.000137301
6158.0  0.000171526
6160.0     0.000272
6162.0  0.000509246
6164.0  0.000774661
6166.0  0.000920606
6168.0  0.000931535
6170.0     0.000924
6172.0   0.00097889
6174.0  0.001011481
6176.0  0.000900541
6178.0  0.000637409
6180.0     0.000326
6182.0  7.19013e-05
6184.0 -3.21802e-05
6186.0  9.68616e-05
6188.0  0.000395385
6190.0     0.000653
6192.0   0.00070724
6194.0  0.000612852
6196.0  0.000479009
6198.0  0.000417755
6200.0     0.000544
6202.0  0.000893559
6204.0  0.001185356
6206.0  0.001075946
6208.0  0.000609539
6210.0     0.000218
6212.0  0.000224133
6214.0  0.000447083
6216.0  0.000588769
6218.0  0.000550905
6220.0     0.000435
6222.0  0.000331478
6224.0  0.000251661
6226.0  0.000189144
6228.0  0.000184644
6230.0     0.000326
6232.0   0.00063677
6234.0  0.000875195
6236.0  0.000750326
6238.0  0.000365432
6240.0     0.000218
6242.0  0.000629789
6244.0  0.001151089
6246.0  0.001164184
6248.0   0.00062318
6250.0      5.4e-05
6252.0 -0.000117965
6254.0   3.1089e-05
6256.0  0.000302117
6258.0  0.000554691
6260.0     0.000707
6262.0  0.000709865
6264.0  0.000634437
6266.0  0.000579139
6268.0  0.000577668
6270.0     0.000599
6272.0  0.000613711
6274.0  0.000610033
6276.0  0.000582946
6278.0  0.000581137
6280.0     0.000707
6282.0  0.001010702
6284.0  0.001324174
6286.0  0.001435327
6288.0  0.001374609
6290.0     0.001415
6292.0  0.001731419
6294.0  0.002064364
6296.0   0.00205946
6298.0  0.001678211
6300.0     0.001198
6302.0  0.000850362
6304.0  0.000628504
6306.0  0.000471715
6308.0  0.000449585
6310.0     0.000762
6312.0   0.00149953
6314.0  0.002292811
6316.0   0.00267622
6318.0  0.002614748
6320.0     0.002504
6322.0  0.002636668
6324.0  0.002818895
6326.0  0.002751161
6328.0  0.002501401
6330.0     0.002505
6332.0   0.00301828
6334.0    0.0035174
6336.0  0.003318959
6338.0  0.002555598
6340.0     0.002176
6342.0  0.002854214
6344.0   0.00402383
6346.0  0.004832469
6348.0  0.004983091
6350.0     0.004734
6352.0   0.00437647
6354.0  0.004237079
6356.0   0.00463305
6358.0  0.005463412
6360.0     0.006209
6362.0  0.006486788
6364.0   0.00653103
6366.0  0.006718505
6368.0  0.007154738
6370.0     0.007674
6372.0  0.008119478
6374.0  0.008417197
6376.0  0.008523543
6378.0  0.008616971
6380.0     0.009098
6382.0  0.010206559
6384.0   0.01150159
6386.0  0.012393154
6388.0  0.012782687
6390.0     0.013063
6392.0  0.013571534
6394.0  0.014338794
6396.0  0.015318283
6398.0  0.016457312
6400.0     0.017697
6402.0  0.018960761
6404.0  0.020102268
6406.0  0.020975337
6408.0    0.0218381
6410.0     0.023353
6412.0  0.025925245
6414.0  0.028860776
6416.0  0.031229883
6418.0  0.033003658
6420.0     0.035054
6422.0  0.038068247
6424.0  0.041838844
6426.0  0.045941411
6428.0  0.050110179
6430.0     0.054238
6432.0  0.058316427
6434.0  0.062704251
6436.0  0.067844753
6438.0  0.074012831
6440.0     0.081315
6442.0  0.089749398
6444.0  0.098909925
6446.0  0.108318674
6448.0  0.118170496
6450.0     0.129333
6452.0   0.14254022
6454.0  0.157874894
6456.0  0.175255195
6458.0  0.194559221
6460.0     0.215625
6462.0  0.238527488
6464.0  0.264296338
6466.0  0.294178312
6468.0  0.328924236
6470.0     0.368789
6472.0  0.414050984
6474.0  0.465168782
6476.0  0.522678939
6478.0  0.587874699
6480.0     0.662806
6482.0  0.749534439
6484.0  0.850036659
6486.0  0.966299582
6488.0  1.101035085
6490.0      1.25768
6492.0   1.43999535
6494.0  1.652912838
6496.0  1.901706741
6498.0  2.192799157
6500.0      2.53376
6502.0  2.933279071
6504.0  3.404326096
6506.0  3.961195967
6508.0  4.624052812
6510.0      5.41893
6512.0  6.371107406
6514.0   7.50183019
6516.0   8.83211055
6518.0  10.40080213
6520.0      12.2646
6522.0  14.47811181
6524.0  17.08449257
6526.0  20.12361597
6528.0  23.62573862
6530.0      27.6115
6532.0  32.09379182
6534.0  37.05618728
6536.0  42.47184092
6538.0  48.24285909
6540.0      54.2003
6542.0  60.17678244
6544.0  66.02352379
6546.0   71.5973305
6548.0  76.77661586
6550.0      81.4614
6552.0  85.56326233
6554.0  89.03626176
6556.0  91.84751569
6558.0   94.0202302
6560.0      95.6337
6562.0  96.76954618
6564.0  97.50894081
6566.0  97.93306123
6568.0    98.125787
6570.0      98.1737
6572.0  98.15123774
6574.0  98.08379043
6576.0  97.98505988
6578.0  97.88193665
6580.0      97.8145
6582.0  97.81058852
6584.0  97.84678434
6586.0  97.88813632
6588.0  97.92915247
6590.0      97.9938
6592.0  98.09882797
6594.0   98.2269896
6596.0  98.35302942
6598.0   98.4629676
6600.0      98.5541
6602.0  98.62753259
6604.0  98.69765084
6606.0  98.78109309
6608.0   98.8699571
6610.0      98.9318
6612.0  98.94534992
6614.0  98.93828693
6616.0  98.94918111
6618.0  98.98559827
6620.0      99.0241
6622.0  99.04591503
6624.0  99.05633262
6626.0  99.06594401
6628.0  99.06893781
6630.0      99.0431
6632.0  98.97856533
6634.0  98.91771617
6636.0  98.91355182
6638.0  98.96283662
6640.0      99.0061
6642.0  98.99703639
6644.0  98.95178019
6646.0  98.90116942
6648.0  98.85519484
6650.0       98.803
6652.0  98.73787768
6654.0  98.67334328
6656.0  98.62696482
6658.0  98.59324076
6660.0      98.5436
6662.0  98.46295275
6664.0  98.39414652
6666.0  98.39190924
6668.0  98.45107818
6670.0      98.5066
6672.0  98.50382557
6674.0  98.44013843
6676.0  98.32481893
6678.0  98.14158657
6680.0      97.8486
6682.0  97.39853649
6684.0  96.72659315
6686.0  95.76344621
6688.0  94.43630261
6690.0      92.6689
6692.0  90.39615327
6694.0  87.59828963
6696.0  84.26696157
6698.0  80.39605715
6700.0      75.9817
6702.0  71.05287891
6704.0  65.76965451
6706.0  60.32215341
6708.0  54.83835671
6710.0      49.3841
6712.0  44.03354344
6714.0  38.90495346
6716.0  34.12501255
6718.0  29.76036162
6720.0      25.8176
6722.0  22.29817966
6724.0  19.19340515
6726.0  16.49134473
6728.0   14.1639788
6730.0      12.1672
6732.0  10.45759112
6734.0  8.997293567
6736.0   7.75012194
6738.0  6.686411862
6740.0      5.78302
6742.0   5.01736398
6744.0  4.367971184
6746.0  3.813815547
6748.0  3.337760707
6750.0      2.92656
6752.0  2.568773406
6754.0  2.259511003
6756.0  1.995399876
6758.0  1.770295151
6760.0      1.57528
6762.0  1.402661303
6764.0  1.250122864
6766.0  1.116658789
6768.0  1.000482955
6770.0     0.899029
6772.0  0.809810883
6774.0  0.730799527
6776.0  0.660109783
6778.0  0.596539194
6780.0     0.539568
6782.0  0.488668797
6784.0  0.443164871
6786.0  0.402350276
6788.0  0.365705206
6790.0     0.332896
6792.0  0.303537035
6794.0  0.277002472
6796.0  0.252624161
6798.0  0.230142013
6800.0     0.209704
6802.0  0.191432153
6804.0  0.175273766
6806.0  0.161116945
6808.0  0.148493111
6810.0     0.136577
6812.0  0.124839686
6814.0   0.11399961
6816.0  0.105035531
6818.0  0.097741129
6820.0     0.090725
6822.0  0.082980127
6824.0   0.07524313
6826.0  0.068645532
6828.0   0.06337573
6830.0     0.058679
6832.0  0.053974561
6834.0  0.049541444
6836.0  0.045850615
6838.0  0.042843703
6840.0     0.039933
6842.0  0.036742452
6844.0  0.033834685
6846.0  0.031963164
6848.0  0.030873209
6850.0     0.029302
6852.0  0.026418366
6854.0  0.023293069
6856.0  0.021414424
6858.0  0.020938276
6860.0     0.020688
6862.0   0.01970541
6864.0  0.018137797
6866.0  0.016404457
6868.0   0.01482433
6870.0     0.013616
6872.0  0.012933616
6874.0  0.012691045
6876.0  0.012741961
6878.0  0.012937249
6880.0     0.013125
6882.0  0.013098676
6884.0  0.012433699
6886.0  0.010690467
6888.0  0.008337613
6890.0     0.006752
6892.0  0.006909311
6894.0  0.008022551
6896.0  0.008894312
6898.0  0.009023033
6900.0     0.008603
6902.0  0.007863576
6904.0  0.007053406
6906.0  0.006415709
6908.0  0.005957981
6910.0     0.005452
6912.0  0.004773344
6914.0  0.004253791
6916.0  0.004321338
6918.0  0.004993837
6920.0     0.005879
6922.0  0.006583479
6924.0  0.006781031
6926.0  0.006184111
6928.0  0.005009438
6930.0     0.003978
6932.0  0.003638568
6934.0  0.003763365
6936.0  0.003942402
6938.0  0.004040043
6940.0     0.004195
6942.0  0.004464171
6944.0  0.004529483
6946.0  0.004004528
6948.0  0.003087261
6950.0      0.00256
6952.0  0.002939601
6954.0  0.003579448
6956.0  0.003578436
6958.0  0.002872177
6960.0     0.002233
6962.0  0.002237891
6964.0  0.002536934
6966.0  0.002563885
6968.0  0.002106594
6970.0     0.001307
6972.0  0.000403467
6974.0 -4.15378e-05
6976.0  0.000578276
6978.0  0.002013494
6980.0     0.003159
6982.0  0.003166501
6984.0  0.002363825
6986.0  0.001373209
6988.0   0.00082567
6990.0     0.001361
6992.0  0.003230508
6994.0  0.005130041
6996.0  0.005434435
6998.0  0.004079095
