WAVE       TRANS
---- -----------
5010    4.36e-05
5020  0.00011926
5030  0.00025994
5040  0.00032886
5050  0.00029605
5060  0.00019276
5070   0.0003155
5080  0.00030776
5090  0.00021006
5100  0.00017446
5110  0.00031103
5120  0.00017816
5130    1.29e-05
5140  0.00012467
5150   -5.08e-05
5160  0.00010614
5170   0.0001663
5180  0.00018389
5190  0.00038581
5200    6.16e-05
5210    8.98e-05
5220  0.00029084
5230  0.00012507
5240  0.00021059
5250   0.0003804
5260   0.0003525
5270  0.00035024
5280  0.00039788
5290  0.00030166
5300  0.00039911
5310  0.00053481
5320  0.00029628
5330  0.00029297
5340  0.00034693
5350  0.00027167
5360  0.00035735
5370  0.00038995
5380    0.000384
5390  0.00031224
5400  0.00038342
5410   0.0003889
5420  0.00048896
5430  0.00053069
5440   0.0004429
5450  0.00048144
5460  0.00055689
5470  0.00055918
5480  0.00065536
5490  0.00086449
5500  0.00120109
5510  0.00165092
5520   0.0023281
5530   0.0034053
5540  0.00546306
5550  0.00925134
5560  0.01617856
5570  0.02935513
5580  0.05542036
5590  0.10773507
5600  0.21847904
5610  0.46435577
5620  1.04065681
5630  5.02462586
5640  9.64487552
5650 17.77633828
5660 29.44712759
5670 43.28254828
5680 57.24347586
5690 69.62389655
5700 78.96102414
5710 84.51206552
5720 86.98995862
5730 87.85992069
5740 88.31802759
5750 88.62942069
5760 88.86687241
5770 89.05505172
5780 89.21154483
5790 89.35936897
5800 89.51229655
5810 89.68926897
5820 89.88398966
5830 90.06247241
5840 90.17368621
5850 90.17257586
5860 90.05232069
5870 89.85622414
5880 89.64596552
5890 89.48221034
5900 89.43586897
5910 89.50094483
5920 89.64693793
5930 89.81586207
5940 89.94307586
5950 89.98977241
5960 89.98456897
5970 89.95856207
5980 89.95397931
5990 90.00658966
6000      90.117
6010 90.24140345
6020 90.34736897
6030 90.41887241
6040 90.44844483
6050 90.42134828
6060 90.35553448
6070 90.25151379
6080 90.14195862
6090 90.07835862
6100 90.09394483
6110 90.19052069
6120 90.34961379
6130 90.52041034
6140 90.65736897
6150     90.7607
6160  90.8093931
6170 90.83064138
6180 90.82023793
6190 90.77286552
6200 90.72429655
6210 90.68452414
6220 90.66027586
6230 90.65473793
6240 90.66573448
6250 90.68538966
6260 90.71123103
6270     90.7368
6280 90.76831724
6290 90.80968966
6300 90.84752414
6310 90.85881034
6320 90.83367241
6330 90.79439655
6340 90.77531724
6350 90.79726207
6360 90.85084138
6370 90.92922414
6380 91.00538276
6390 91.05300345
6400 91.06507931
6410 91.04354828
6420  90.9851931
6430  90.8966931
6440 90.79056897
6450  90.6795931
6460 90.57593103
6470     90.4912
6480  90.4324931
6490 90.39543793
6500 90.36687931
6510 90.35856207
6520 90.38207586
6530 90.45549655
6540 90.57683793
6550 90.71334483
6560 90.85022759
6570 90.96120345
6580  91.0346069
6590 91.06664483
6600 91.05315172
6610 90.98794828
6620 90.88048966
6630 90.74894828
6640 90.62268276
6650  90.5362931
6660 90.49042759
6670 90.49622069
6680 90.55428966
6690 90.64627931
6700 90.73685172
6710 90.80261034
6720 90.83813103
6730 90.83851379
6740 90.80548276
6750 90.75117241
6760 90.67682069
6770 90.61724828
6780 90.58437931
6790 90.57366207
6800 90.58082414
6810  90.6160931
6820 90.66492759
6830 90.70383793
6840 90.71874138
6850 90.71682414
6860 90.68843103
6870 90.64947241
6880 90.60091724
6890 90.53341724
6900 90.44212759
6910 90.33058966
6920 90.20170345
6930 90.07676207
6940 89.98145172
6950 89.92374483
6960 89.89931379
6970 89.87543793
6980  89.8516931
6990 89.84150345
7000  89.8240069
7010 89.78561724
7020 89.69184828
7030 89.51576552
7040 89.24881724
7050 88.90258621
7060 88.45118966
7070 87.80864828
7080  86.9358931
7090 85.89008621
7100 84.86402759
7110 83.59247241
7120 80.98899655
7130  75.8982069
7140 67.72572069
7150 56.92033103
7160 44.52626207
7170 32.14556207
7180    21.48505
7190 13.73626138
7200  8.73096897
7210  5.59190241
7220   3.6415231
7230  2.42479379
7240  1.68273862
7250  1.24237593
7260  0.93246347
7270  0.48173499
7280  0.26432481
7290  0.15850452
7300  0.10376059
7310  0.07394312
7320  0.05507727
7330  0.04119952
7340   0.0294749
7350  0.01921141
7360  0.01172464
7370  0.00697535
7380  0.00396618
7390  0.00262159
7400  0.00197676
7410   0.0012641
7420  0.00116291
7430  0.00096454
7440  0.00112291
7450  0.00083508
7460  0.00108251
7470  0.00102506
7480  0.00071519
7490   0.0003897
7500  0.00033076
7510    7.79e-05
7520   -2.66e-05
7530  0.00013466
7540   -9.57e-05
7550  -0.0001834
7560    7.87e-06
7570   0.0002739
7580  0.00017248
7590   -2.17e-05
7600  0.00010672
7610  0.00019646
7620   0.0001091
7630  0.00026007
7640  0.00028577
7650  0.00015748
7660     1.5e-05
7670     0.00019
7680  0.00037773
7690  0.00017945
7700   -3.73e-05
7710     2.8e-07
7720  0.00030459
7730    4.22e-05
7740    7.57e-05
7750  0.00026091
7760  0.00016975
7770    8.21e-05
7780   0.0001631
7790  0.00019417
7800    4.68e-05
7810    3.34e-06
7820  0.00012353
7830  0.00019807
7840   -3.84e-06
7850    2.24e-05
7860  0.00012897
7870  0.00019117
7880   0.0004112
7890  0.00010681
7900    3.07e-05
7910  0.00024712
7920  0.00027623
7930   -1.26e-05
7940   -3.78e-05
7950   -4.96e-05
7960    1.55e-06
7970   -6.54e-05
7980    4.62e-05
7990   -4.66e-05
